"","Source","Target","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"190","5211","8511",-0.611262518298497,"Retail sale by confectioners, tobacconists and newsagents (CTNs), non-specialised stores holding an alcohol licence, with food, beverages or tobacco predominating","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA","NA","NA","NA",404
"191","6512","8511",-0.841253416910755,"Banks,Building societies","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA","NA","NA","NA",98
"192","7511","8511",-0.655194582937394,"General (overall) public service activities","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA","NA","NA","NA",299
"193","8030","8511",-0.0890157119001358,"Sub-degree level higher education, First-degree level higher education, Post-graduate level higher education","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA, NA, NA","NA","NA, NA, NA","NA",524
"194","4521","8511",-0.838187083214993,"Construction of commercial buildings, Construction of domestic buildings, Construction of civil engineering constructions","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA, NA, NA","NA","NA, NA, NA","NA",46
"195","7524","8511",-0.747659690761592,"Public security, law and order activities","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA","NA","NA","NA",45
"196","8532","8511",-0.0150175283838466,"Charitable social work activities without accommodation,Non-charitable social work activities without accommodation","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA","NA","NA","NA",588
"197","8531","8511",0.411222234254383,"Charitable social work activities with accommodation, Non-charitable social work activities with accommodation","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA, NA","NA","NA, NA","NA",1408
"198","6411","8511",-0.77109097460025,"National post activities","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA","NA","NA","NA",30
"199","7411","8511",-0.70516994119245,"Barristers at law,Solicitors,Activities of patent and copyright agents,Other legal activities not elsewhere classified","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA","NA","NA","NA",52
"200","6420","8511",-0.877372917590245,"Telecommunications","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA","NA","NA","NA",22
"201","7420","8511",-0.818307640578849,"Architectural,Urban planning and landscape architectural activities, Engineering design activities for industrial process and production, Engineering related scientific and technical consulting activities,Engineering consultative and design activities, Other engineering activities, Quantity surveying activities","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA, NA, NA","NA","NA, NA, NA","NA",34
"202","8021","8511",-0.636992961809539,"General secondary education","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA","NA","NA","NA",103
"203","7522","8511",-0.726830942141541,"Defence activities","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA","NA","NA","NA",32
"204","5540","8511",-0.405946556876094,"Licensed clubs,Independent public houses and bars,Tenanted public houses and bars,Managed public houses and bars","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA","NA","NA","NA",214
"205","6024","8511",-0.889408823459251,"Freight transport by road n.e.c.,Furniture removal activities","Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","NA","NA","NA","NA",14
